Title,Link,Thumbnail,Description
Cảnh giác thủ đoạn lừa đảo trên mạng nhắm vào người cao tuổi,/cong-nghe/canh-giac-thu-doan-lua-dao-tren-mang-nham-vao-nguoi-cao-tuoi-2025022518411989.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/25/lua-dao-truc-tuyen-90864608464899930902026-21956085097736730836001.jpg,VTV.vn - Công an TP Hồ Chí Minh cho biết thời gian qua đã ghi nhận nhiều trường hợp người cao tuổi bị lừa đảo với số tiền lớn khi tham gia mạng xã hội.
Hàn Quốc áp dụng tờ khai nhập cảnh điện tử cho người nước ngoài,/cong-nghe/han-quoc-ap-dung-to-khai-nhap-canh-dien-tu-cho-nguoi-nuoc-ngoai-20250225181432818.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/25/han-quoc-17245062700038752931331-75142535305819664667446.jpg,VTV.vn - Người nước ngoài khi tới Hàn Quốc có thể khai báo nhập cảnh điện tử trước tối đa 3 ngày. Quy định mới có hiệu lực từ ngày 24/2/2025.
Anh phát triển công cụ AI hỗ trợ viết đơn xin việc,/cong-nghe/anh-phat-trien-cong-cu-ai-ho-tro-viet-don-xin-viec-20250225180831456.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/25/cv-ai-29029115119416683414872-53911849120838524266574.jpg,VTV.vn - Chính phủ Anh đang phát triển các công cụ ứng dụng AI viết lý lịch và đơn xin việc cho người tìm việc nhằm giảm tải công việc cho nhân viên các trung tâm việc làm.
"Hơn 1.000 nhạc sĩ ra mắt album ""im lặng"" để tuyên chiến với AI",/cong-nghe/hon-1000-nhac-si-ra-mat-album-im-lang-de-tuyen-chien-voi-ai-20250225180739422.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/25/ai-53569162909223778039885-49267838814467554344525.jpg,"VTV.vn - Các nghệ sĩ đã thu âm những khoảng lặng trong studio và các không gian biểu diễn trống trải, như lời cảnh báo về tương lai của âm nhạc nếu luật bản quyền bị thay đổi."
"Giả mạo website, fanpage của khách sạn và homestay để lừa đảo",/cong-nghe/gia-mao-website-fanpage-cua-khach-san-va-homestay-de-lua-dao-20250225181823495.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/25/lua-dao-32508674209393270955247-44013152136290034357526.jpg,"VTV.vn - Lợi dụng nhu cầu du lịch đầu năm gia tăng, kẻ xấu sử dụng chiêu trò lừa đảo bằng cách tạo các trang web, fanpage giả mạo khách sạn, nhà nghỉ để chiếm đoạt tiền đặt cọc."
AI có thể phân tích và tìm ra hàng nghìn tỷ virus trong cơ thể người,/cong-nghe/ai-co-the-phan-tich-va-tim-ra-hang-nghin-ty-virus-trong-co-the-nguoi-20250225154025932.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/25/virus-93708918383606064842200-00919891836051657278522.jpg,"VTV.vn - Các nhà khoa học kỳ vọng, sự hỗ trợ của trí tuệ nhân tạo có thể giúp phát hiện ra các loại virus trong cơ thể người, đặc biệt là những virus có lợi."
Apple thu hồi hàng loạt bản cập nhật beta,/cong-nghe/apple-thu-hoi-hang-loat-ban-cap-nhat-beta-20250225154127365.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/25/ios-18-4-92573959400792471152348-07139346594989036077626.jpg,"VTV.vn - Apple đã bất ngờ thu hồi các bản cập nhật thử nghiệm iOS 18.4 beta trên một số mẫu iPhone, iPadOS 18.4 beta trên iPad và watchOS 11.4 beta trên Apple Watch Series 6."
Chuyến bay thử nghiệm thứ 8 của Starship sẽ diễn ra ngày 28/2,/cong-nghe/chuyen-bay-thu-nghiem-thu-8-cua-starship-se-dien-ra-ngay-28-2-20250225162159294.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/25/spacex-86628122837277945045658-87762345002890048901854.png,"VTV.vn - Ngày 24/2, tập đoàn công nghệ không gian SpaceX thông báo kế hoạch sẽ thực hiện chuyến bay thử nghiệm thứ 8 của tàu vũ trụ Starship vào ngày 28/2."
AI thua con người khi xử lý các văn bản dài,/cong-nghe/ai-thua-con-nguoi-khi-xu-ly-cac-van-ban-dai-20250225160138115.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/25/ai-66257954960892688905782-63502399616617363807030.jpg,VTV.vn - Một nghiên cứu mới của các nhà khoa học Israel đã chỉ ra những khác biệt quan trọng giữa cách bộ não con người và trí tuệ nhân tạo (AI) xử lý văn bản dài.
Apple chuẩn bị tung gói đầu tư 500 tỷ USD tại Mỹ,/kinh-te/apple-chuan-bi-tung-goi-dau-tu-500-ty-usd-tai-my-2025022510002597.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/25/tim-cook-event-stage-37526896390250709453865-97022610639469587032761.webp,"VTV.vn - Theo thông tin mới được Reuters đăng tải, Apple sẽ chi 500 tỷ USD trong 4 năm tới với mục tiêu tạo ra 20.000 việc làm mới tại Mỹ."
Ghép tế bào nhau thai giúp phục hồi thị lực,/cong-nghe/ghep-te-bao-nhau-thai-giup-phuc-hoi-thi-luc-20250224174229952.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/24/thi-luc-21874323438138428988552-31681263834494695066410.jpg,VTV.vn - Các bác sĩ tại Anh đã tạo ra phương pháp sử dụng màng nhau thai được hiến tặng để giúp phục hồi thị lực cho một bệnh nhân bị tổn thương mắt nghiêm trọng do bị tạt axit.
Học sinh Việt Nam giành vé tham dự cuộc thi robot toàn cầu tại Mỹ,/cong-nghe/hoc-sinh-viet-nam-gianh-ve-tham-du-cuoc-thi-robot-toan-cau-tai-my-20250224183118737.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/24/robot-61557293092690457839381-16271101150127354555072.png,VTV.vn - Hai đội tuyển đại diện Việt Nam tham gia thi đấu tại FIRST World Championship toàn cầu được tổ chức tại Mỹ vào tháng 4 đã lộ diện.
Thái Lan nỗ lực ngăn chặn tội phạm lừa đảo tổng đài,/cong-nghe/thai-lan-no-luc-ngan-chan-toi-pham-lua-dao-tong-dai-20250224173404414.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/24/tong-dai-74336189462415246378905-98415825191799117859001.jpg,VTV.vn - Các quốc gia Đông Nam Á đang phải có những biện pháp mạnh hơn để bảo vệ người dân trước làn sóng lừa đảo trực tuyến.
Cẩn trọng chiêu trò lừa đảo bằng công nghệ Deepfake,/cong-nghe/can-trong-chieu-tro-lua-dao-bang-cong-nghe-deepfake-20250224174019459.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/24/deepfake-87478096929851437199703-75521593624470722279814-22257947032411584184390.jpg,"VTV.vn - Bộ Công an đưa ra cảnh báo tái diễn tình trạng lợi dụng hình ảnh, video công khai của người dân để chỉnh sửa, cắt ghép, sau đó đe dọa tống tiền bằng các video giả mạo..."
Ấn tượng các công nghệ tại triển lãm năng lượng quốc tế 2025,/cong-nghe/an-tuong-cac-cong-nghe-tai-trien-lam-nang-luong-quoc-te-2025-20250223084548474.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/24/trien-lam-nang-luong-67226247853632209276434-74051517416106013417200.jpg,"VTV.vn - Triển lãm năng lượng quốc tế vừa diễn ra ở thủ đô Tokyo, Nhật Bản đã thu hút khoảng 1.600 công ty tham dự."
Hơn 200.000 mối đe dọa tấn công thiết bị mỗi ngày tại Việt Nam,/cong-nghe/hon-200000-moi-de-doa-tan-cong-thiet-bi-moi-ngay-tai-viet-nam-20250224185409455.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/24/security-96262740986319123572820-70327449883667862816015.jpeg,"VTV.vn - Trong năm 2024, Kaspersky đã phát hiện hơn 86,2 triệu sự cố liên quan đến mối đe dọa tấn công vào thiết bị nội bộ tại Việt Nam."
Lừa đảo từ các cuộc gọi không lời,/cong-nghe/lua-dao-tu-cac-cuoc-goi-khong-loi-2025022418392657.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/24/unknown-call-99815217363634158597197-47223944365269862726472.jpg,"VTV.vn - Thời gian gần đây, nhiều người cho biết đã nhận được các cuộc gọi không nói gì, không có âm thanh… từ những số lạ."
Không để Việt Nam trở thành “bãi rác” công nghệ của thế giới,/cong-nghe/khong-de-viet-nam-tro-thanh-bai-rac-cong-nghe-cua-the-gioi-20250223110434663.htm,https://cdn-images.vtv.vn/zoom/205_131/66349b6076cb4dee98746cf1/2025/02/24/viet-nam-khong-ngung-no-luc-thu-hut-cac-tap--oan-cong-nghiep-cong-nghe-lon-tren-the-gioi--anh--viettel--48951050621428898560632-89080742016088103464868.JPG,"VTV.vn - Việt Nam đã đạt được thành công đáng kể trong việc thu hút các nhà đầu tư lớn trên thế giới. Tuy nhiên, giá trị thực sự mà nền kinh tế trong nước giữ lại vẫn rất hạn chế."
